row_label,column_header,value_raw,value,entity_id,entity_name,source_file,page,table_index,table_title,currency,unit_scale
,1,44,44.0,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
"Gross profit
Operating expenses
Sales and distribution costs
Administration costs
Impairment of trade receivables",1,4.2,4.2,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
Capital items,1,42,42.0,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
Monetary gain arising from hyperinflation in Turkiye,1,13,13.0,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
‘Taxation,1,5,5.0,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
Basic earnings per share (cents),1,64,64.0,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
Diluted basic earnings per share (cents),1,6.2,6.2,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
Headline earnings per share (cents),1,6.3,6.3,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
Diluted headline earnings per share (cents),1,6.3,6.3,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
,2,2023,2023.0,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
,2,196 341 239,196341239.0,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
Cost of revenue,2,(149 537 909),-149537909.0,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
Other costs,2,(66 341),-66341.0,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
Capital items,2,(77 724),-77724.0,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
Share of profit from associates and jointly controlled entities,2,89 242,89242.0,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
Monetary gain arising from hyperinflation in Turkiye,2,7 426,7426.0,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
Profit before taxation,2,9 345 223,9345223.0,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
‘Taxation,2,(2 393 482),-2393482.0,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
Profit for the year,2,6 951 741,6951741.0,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
Shareholders of the company,2,6 886 260,6886260.0,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
Non-controlling interests,2,65 481,65481.0,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
,2,6 951 741,6951741.0,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
Basic earnings per share (cents),2,"2 061,8",20618.0,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
Diluted basic earnings per share (cents),2,"2 055,8",20558.0,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
Headline earnings per share (cents),2,"2 082,9",20829.0,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
Dividends per share (cents),2,"940,0",9400.0,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
,3,2022,2022.0,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
,3,147 138 311,147138311.0,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
Cost of revenue,3,(111 495 826),-111495826.0,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
Other costs,3,(158 950),-158950.0,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
Capital items,3,(333 150),-333150.0,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
Share of profit from associates and jointly controlled entities,3,39718,39718.0,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
Monetary gain arising from hyperinflation in Turkiye,3,69 215,69215.0,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
Profit before taxation,3,6 499 226,6499226.0,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
‘Taxation,3,(1 584 987),-1584987.0,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
Profit for the year,3,4914 239,4914239.0,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
Shareholders of the company,3,4 824 720,4824720.0,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
Non-controlling interests,3,89519,89519.0,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
,3,4914 239,4914239.0,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
Diluted basic earnings per share (cents),3,"1 440,3",14403.0,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
Headline earnings per share (cents),3,"1 538,3",15383.0,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
Dividends per share (cents),3,"700,0",7000.0,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
,5,2023,2023.0,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
,5,6951 741,6951741.0,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
Cost of revenue,5,5 160 686,5160686.0,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
Capital items,5,12 112 427,12112427.0,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
"Operating profit
Net finance costs
Finance income
Finance charges",5,"11 991 358
121 069",11991358121069.0,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
Share of profit from associates and jointly controlled entities,5,12 112 427,12112427.0,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
,6,2022,2022.0,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
,6,4914 239,4914239.0,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
Cost of revenue,6,903 551,903551.0,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
Capital items,6,5 817 790,5817790.0,E10,Bid Corporation,Bid_Corporation_-_22&23.pdf,1,0,"for the year ended June 30
for the year ended June 30",ZAR,
